Time,target_cpu,__cpu,curr_state,next_state,t_start,t_delta
0.262394,,3.0,S,W,0.262394,0.174854
0.437248,3.0,,W,A,0.437248,7.89999999142e-05
0.437327,,3.0,A,S,0.437327,5.29999997525e-05
0.43738,,3.0,S,W,0.43738,0.000919999999951
0.4383,3.0,,W,A,0.4383,2.40000003942e-05
0.438324,,3.0,A,R+,0.438324,0.000322999999753
0.438647,,3.0,R+,A,0.438647,9.49999998738e-05
0.438742,,3.0,A,R,0.438742,0.000215000000026
0.438957,,3.0,R,A,0.438957,7.00000009601e-06
0.438964,,3.0,A,R+,0.438964,0.000119000000268
0.439083,,3.0,R+,A,0.439083,0.000145999999859
0.439229,,3.0,A,R+,0.439229,0.00187700000015
0.441106,,3.0,R+,A,0.441106,0.000208999999813
0.441315,,3.0,A,S,0.441315,0.000173999999788
0.441489,,3.0,S,W,0.441489,0.296227
0.737716,3.0,,W,A,0.737716,3.9999999899e-05
0.737756,,3.0,A,S,0.737756,4.90000002173e-05
0.737805,,3.0,S,W,0.737805,1.09999996312e-05
0.737816,3.0,,W,A,0.737816,3.9999999899e-06
0.73782,,3.0,A,S,0.73782,5.00000001011e-05
0.73787,,3.0,S,W,0.73787,0.0077540000002
0.745624,3.0,,W,A,0.745624,7.00000009601e-06
0.745631,,3.0,A,S,0.745631,3.19999999192e-05
0.745663,,3.0,S,W,0.745663,1.10000000859e-05
0.745674,3.0,,W,A,0.745674,3.9999999899e-06
0.745678,,3.0,A,S,0.745678,0.000617999999577
0.746296,,3.0,S,W,0.746296,2.20000001718e-05
0.746318,2.0,,W,A,0.746318,3.70000002476e-05
0.746355,,2.0,A,S,0.746355,0.000826999999845
0.747182,,2.0,S,W,0.747182,0.00019999999995
0.747382,2.0,,W,A,0.747382,7.59999998081e-05
0.747458,,2.0,A,S,0.747458,0.00295300000016
0.750411,,2.0,S,W,0.750411,0.000551999999971
0.750963,2.0,,W,A,0.750963,0.000432000000274
0.751395,,2.0,A,S,0.751395,0.000306999999793
0.751702,,2.0,S,W,0.751702,0.00269100000014
0.754393,2.0,,W,A,0.754393,0.000238000000081
0.754631,,2.0,A,R,0.754631,4.79999998788e-05
0.754679,,2.0,R,A,0.754679,0.000130999999783
0.75481,,2.0,A,D,0.75481,3.40000001415e-05
0.754844,,2.0,D,W,0.754844,1.4000000192e-05
0.754858,2.0,,W,A,0.754858,1.39999997373e-05
0.754872,,2.0,A,S,0.754872,3.80000001314e-05
0.75491,,2.0,S,W,0.75491,0.000576999999794
0.755487,2.0,,W,A,0.755487,3.80000001314e-05
0.755525,,2.0,A,R+,0.755525,0.000649000000067
0.756174,,2.0,R+,A,0.756174,0.000129999999899
0.756304,,2.0,A,R+,0.756304,0.000505999999859
0.75681,,2.0,R+,A,0.75681,0.000238000000081
0.757048,,2.0,A,R,0.757048,0.000410999999986
0.757459,,2.0,R,A,0.757459,5.80000000809e-05
0.757517,,2.0,A,R+,0.757517,0.00246199999992
0.759979,,2.0,R+,A,0.759979,0.000347000000147
0.760326,,2.0,A,S,0.760326,0.000298999999814
0.760625,,2.0,S,W,0.760625,0.0103859999999
0.771011,2.0,,W,A,0.771011,0.000214000000142
0.771225,,2.0,A,S,0.771225,7.40000000405e-05
0.771299,,2.0,S,W,0.771299,0.00065799999993
0.771957,2.0,,W,A,0.771957,5.09999999849e-05
0.772008,,2.0,A,R,0.772008,0.000613000000158
0.772621,,2.0,R,A,0.772621,0.00127100000009
0.773892,,2.0,A,R,0.773892,0.000279999999748
0.774172,,2.0,R,A,0.774172,5.00000001011e-05
0.774222,,2.0,A,R+,0.774222,0.000290999999834
0.774513,,2.0,R+,A,0.774513,0.000212000000374
0.774725,,2.0,A,R,0.774725,0.000800999999683
0.775526,,2.0,R,A,0.775526,0.000134000000344
0.77566,,2.0,A,R,0.77566,0.000146999999743
0.775807,,2.0,R,A,0.775807,0.000770000000102
0.776577,,2.0,A,R+,0.776577,0.00188399999979
0.778461,,2.0,R+,A,0.778461,0.000348999999915
0.77881,,2.0,A,S,0.77881,0.000268000000233
0.779078,,2.0,S,W,0.779078,0.00844999999981
0.787528,2.0,,W,A,0.787528,0.000204000000394
0.787732,,2.0,A,S,0.787732,6.69999999445e-05
0.787799,,2.0,S,W,0.787799,0.000619999999799
0.788419,2.0,,W,A,0.788419,7.49999999243e-05
0.788494,,2.0,A,R+,0.788494,0.00108500000033
0.789579,,2.0,R+,A,0.789579,0.000236999999743
0.789816,,2.0,A,R,0.789816,0.00105200000007
0.790868,,2.0,R,A,0.790868,6.60000000607e-05
0.790934,,2.0,A,R+,0.790934,0.0015269999999
0.792461,,2.0,R+,A,0.792461,0.000744999999824
0.793206,,2.0,A,S,0.793206,2.90000002678e-05
0.793235,,2.0,S,W,0.793235,0.000565999999708
0.793801,2.0,,W,A,0.793801,5.20000003235e-05
0.793853,,2.0,A,S,0.793853,0.000299999999697
0.794153,,2.0,S,W,0.794153,0.0122630000001
0.806416,2.0,,W,A,0.806416,0.000442999999905
0.806859,,2.0,A,S,0.806859,0.000178000000233
